"codigo","nombre","energia_kcal","agua_pct","fraccion_comestible_pct","proteina_g","grasa_total_g","ag_sat_g","ag_mono_g","ag_poli_g","colesterol_mg","carbohidratos_g","azucares_g","ceniza_g","fibra_dietetica_g","calcio_mg","hierro_mg","magnesio_mg","fosforo_mg","potasio_mg","sodio_mg","zinc_mg","cobre_mg","selenio_mcg","vitamina_c_mg","tiamina_mg","riboflavina_mg","niacina_mg","ac_pantotenico_mg","vitamina_b6_mg","ac_folico_mcg","folato_alimentos_mcg","folato_fde_mcg","vitamina_b12_mcg","vitamina_a_rae_mcg","retinol_mcg","b_carotenos_mcg","vitamina_e_mg","vitamina_d_mcg","vitamina_k_mcg"
"11076","ELOTE DULCE, AMARILLO, COCIDO S/SAL","96","73","0.55","3.41","1.5","0.2","0.37","0.6","0","20.98","4.54","2.4","0.71","3","0.45","26","77","218","1","0.62","0.05","0.2","6","0.09","0.06","1.68","0.79","0.14","0","23","23","0","13","0","66","0.09","0","0.4"
"11077","ELOTE DULCE, BLANCO, CRUDO","86","76","0.36","3.22","1.18","0.18","0.35","0.56","0","19.02","3.22","2.7","0.62","2","0.52","37","89","270","15","0.45","0.05","0.6","7","0.2","0.06","1.7","0.76","0.06","0","46","46","0","0","0","1","0.07","0","0.3"
"11078","ELOTE/MAIZ FRESCO, MUY TIERNO","36","89","1","1.8","0.2",,,,,"8.4",,"0.7","0.6","10","0.5",,"57",,,,,,"11","0.08","0.08","0.67",,,,,,,"0",,,,,
"11079","ESCAROLA/ACHICORIA RIZADA, HOJAS","23","92","0.82","1.7","0.3","0.07","0.01","0.13","0","4.7","0.7","4","1.3","100","0.9","30","47","420","45","0.42","0.3","0.3","24","0.06","0.1","0.5","1.16","0.11","0","110","110","0","286","0","3430","2.26","0","297.6"
"11080","ESPARRAGO, CRUDO","20","93","0.53","2.2","0.12","0.04","0","0.05","0","3.88","1.88","2.1","0.58","24","2.14","14","52","202","2","0.54","0.19","2.3","6","0.14","0.14","0.98","0.27","0.09","0","52","52","0","38","0","449","1.13","0","41.6"
"11081","ESPARRAGO, COCIDO S/SAL, ESCURRIDO","22","93","1","2.4","0.22","0.05","0","0.11","0","4.11","1.3","2","0.63","23","0.91","14","54","224","14","0.6","0.17","6.1","8","0.16","0.14","1.08","0.23","0.08","0","149","149","0","50","0","604","1.5","0","50.6"
"11082","ESPARRAGO, ENLATADO, SOLIDOS","19","94","1","2.14","0.65","0.15","0.02","0.28","0","2.46","1.06","1.6","0.77","16","1.83","10","43","172","287","0.4","0.1","1.7","18","0.06","0.1","0.95","0.14","0.11","0","96","96","0","41","0","493","1.22","0","41.3"
"11083","ESPINACA, CRUDA","23","91","0.75","2.86","0.39","0.06","0.01","0.17","0","3.63","0.42","2.2","1.72","99","2.71","79","49","558","79","0.53","0.13","1","28","0.08","0.19","0.72","0.07","0.2","0","194","194","0","469","0","5626","2.03","0","482.9"
"11084","ESPINACA, COCIDA S/SAL, ESCURRIDA","23","91","1","2.97","0.26","0.04","0.01","0.11","0","3.75","0.43","2.4","1.81","136","3.57","87","56","466","70","0.76","0.17","1.5","10","0.1","0.24","0.49","0.15","0.24","0","146","146","0","524","0","6288","2.08","0","493.6"
"11085","FRIJOL GRANO VERDE, CAUPI CON VAINA, CRUDO","44","86","0.91","3.3","0.3","0.08","0.03","0.13","0","9.5","5.04","3.3","0.9","65","1","58","65","215","4","0.34","0.1","0.9","33","0.15","0.14","1.2","0.95","0.17","0","53","53","0","68","0","794","0.49","0","31.5"
"11086","FRIJOL GRANO VERDE, TODA VARIEDAD","150","60","1","9.8","0.3",,,,,"27.8",,"2.3","1.7","59","3.6",,"213",,,,,,"7","0.38","0.12","1.5",,,,,,,"3",,,,,
"11087","GENGIBRE O JENGIBRE, RAIZ","80","79","0.93","1.82","0.75","0.2","0.15","0.15","0","17.77","1.7","2","0.77","16","0.6","43","34","415","13","0.34","0.23","0.7","5","0.03","0.03","0.75","0.2","0.16","0","11","11","0","0","0","0","0.26","0","0.1"
"11088","GUANDU O GANDUL, GRANO VERDE, CRUDO","136","66","0.48","7.2","1.64","0.35","0.01","0.87","0","23.88","3","5.1","1.4","42","1.6","68","127","552","5","1.04","0.13","1.5","39","0.4","0.17","2.2","0.68","0.07","0","173","173","0","3","0","40","0.39","0","24"
"11089","HABA, GRANO VERDE, CRUDO","72","81","0.97","5.6","0.6","0.14","0.02","0.31","0","11.7",,"4.2","1.1","22","1.9","38","95","250","50","0.58","0.07","1.2","33","0.17","0.11","1.5","0.09","0.04","0","96","96","0","18","0",,,"0",
"11090","HABA BLANCA, GRANO VERDE","82","79","1","6.9","0.5",,,,,"13.3",,"3.3","0.8","33","1.2",,"66",,,,,,"32","0.22","0.1","2",,,,,,,"5",,,,,
"11091","HIERBA SAN NICOLAS/VERDOLAGA SILVESTRE","19","93","0.52","2.2","0.3",,,,,"3.1",,"0.9","1.4","48","3.2",,"31",,,,,,"17","0.08","0.09","0.4",,,,,,,"145",,,,,
"11092","HIERBABUENA, FRESCA","70","79","0.61","3.75","0.94","0.25","0.03","0.51","0","14.89",,"8","1.76","243","5.08","80","73","569","31","1.11","0.33",,"32","0.08","0.27","1.71","0.34","0.13","0","114","114","0","212","0",,,"0",
"11093","HIERBAMORA O MACUY, FRESCO","50","85","0.82","4.8","0.8",,,,"0","8.8",,"1.4",,"276","9",,,,,,,,"120","0.24","0.36","1",,,,,,,"34",,,,,
"11094","HOJAS SANTA MARIA, HOJA SANTA","57","82","1","3.9","1.4",,,,,"10.1",,"2.2","2.4","257","5.6",,"52",,,,,,"60","0.12","0.24","0.9",,,,,,,"521",,,,,
"11095","HONGOS COMESTIBLES, CHAMPINONES, CRUDOS","22","92","0.97","3.09","0.34","0.05","0","0.16","0","3.26","1.98","1","0.85","3","0.5","9","86","318","5","0.52","0.32","9.3","2","0.08","0.4","3.61","1.5","0.1","0","17","17","0.04","0","0","0","0.01","0.2","0"
"11096","HONGOS COMESTIBLES, CHAMPINONES, COCIDOS S/SAL, ESCURRIDOS","28","91","1","2.17","0.47","0.06","0.01","0.18","0","5.29","2.34","2.2","0.99","6","1.74","12","87","356","2","0.87","0.5","11.9","4","0.07","0.3","4.46","2.16","0.1","0","18","18","0","0","0","0","0.01","0.2","0"
