no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,Cereales,Arroz,460 g,169,6.27,2.3
2,Cereales,Avena de toda clase,460 g,51,14.1,1.57
3,Cereales,Pan francés,460 g,184,8.9,3.56
4,Cereales,Pan dulce,460 g,226,8.52,4.19
5,Cereales,Pastas de todos los tipos,230 g,65,5.42,1.53
6,Cereales,Tortillas de maíz,460 g,1861,4.72,19.11
7,Carnes,Carne de res sin hueso,460 g,107,30.86,7.17
8,Carnes,Carne de res con hueso,460 g,105,18.44,4.22
9,Carnes,Carne de cerdo sin hueso,460 g,93,22.01,4.46
10,Carnes,Carne de pollo o gallina,460 g,159,14.46,4.98
11,Carnes,Embutidos,460 g,64,14.66,2.04
12,Lácteos,Leche en polvo,460 g,32,43.08,2.96
13,Lácteos,Leche líquida,1000 ml,266,13.1,3.49
14,Lácteos,Queso fresco o duro,460 g,32,26.4,1.86
15,Lácteos,Crema fresca,250 ml,47,10.94,2.06
16,Huevos,Huevos de gallina,648 g,138,15.24,3.24
17,Grasas y aceites,Aceites comestibles,750 ml,129,19.07,3.27
18,Frutas,Aguacates,460 g,106,10.33,2.39
19,Frutas,Bananos/guineos,460 g,268,2.65,1.54
20,Frutas,Plátanos,460 g,214,2.79,1.3
21,Frutas,Piñas,460 g,191,2.67,1.11
22,Frutas,Sandias,460 g,222,2.22,1.07
23,Verduras/hortalizas,Tomate,460 g,170,5.9,2.18
24,Verduras/hortalizas,Güisquil,460 g,429,2.54,2.36
25,Verduras/hortalizas,Cebolla blanca sin tallo,460 g,98,6.32,1.35
26,Verduras/hortalizas,Papas,460 g,151,4.78,1.57
27,Verduras/hortalizas,Hierbas,460 g,115,4.54,1.14
28,Leguminosas,Fríjol,460 g,286,8.98,5.58
29,Azúcar,Azúcar,460 g,429,3.8,3.54
30,Miscelánea,Preparación nutricional a base de maíz y soya,460 g,57,10.55,1.31
31,Miscelánea,Sal,115 g,45,0.35,0.14
32,Miscelánea,Sopas instantáneas en vaso,230 g,15,15.77,1.0
33,Miscelánea,"Café en grano, molido, instantáneo",460 g,43,45.1,4.22
34,Miscelánea,Aguas gaseosas,1000 ml,260,10.87,2.83
